logAge,Mass,Umag,Bmag,Vmag,Rmag,Imag,B-V,V-I
7.2,1.299,4.565,4.392,3.758,3.385,3.078,0.6340000000000003,0.6800000000000002
7.2,1.3,4.551,4.381,3.749,3.377,3.071,0.6320000000000001,0.6779999999999999
7.2,1.311,4.389,4.25,3.641,3.282,2.984,0.609,0.657
7.2,1.333,4.118,4.028,3.461,3.124,2.842,0.5669999999999997,0.6189999999999998
7.2,1.35,3.936,3.876,3.343,3.023,2.753,0.5329999999999999,0.5899999999999999
7.2,1.364,3.797,3.759,3.253,2.947,2.688,0.5059999999999998,0.565
7.2,1.373,3.755,3.727,3.233,2.934,2.679,0.4939999999999998,0.5540000000000003
7.2,1.4,3.661,3.656,3.196,2.915,2.674,0.45999999999999996,0.5220000000000002
7.2,1.412,3.651,3.652,3.202,2.926,2.69,0.4500000000000002,0.512
7.2,1.429,3.686,3.693,3.249,2.977,2.743,0.44399999999999995,0.5060000000000002
7.2,1.443,3.732,3.742,3.298,3.026,2.792,0.44399999999999995,0.5060000000000002
7.2,1.45,3.752,3.763,3.319,3.046,2.812,0.44399999999999995,0.5070000000000001
7.2,1.459,3.778,3.789,3.344,3.072,2.838,0.4450000000000003,0.5059999999999998
7.2,1.485,3.788,3.801,3.357,3.084,2.85,0.44399999999999995,0.5070000000000001
7.2,1.497,3.771,3.785,3.342,3.07,2.837,0.44300000000000006,0.5049999999999999
7.2,1.5,3.756,3.77,3.329,3.058,2.826,0.44099999999999984,0.5030000000000001
7.2,1.55,3.515,3.533,3.123,2.868,2.65,0.4099999999999997,0.4730000000000003
7.2,1.59,3.314,3.332,2.948,2.709,2.504,0.3839999999999999,0.44399999999999995
7.2,1.6,3.263,3.28,2.904,2.67,2.469,0.3759999999999999,0.43500000000000005
7.2,1.642,3.023,3.033,2.704,2.501,2.327,0.32899999999999974,0.3770000000000002
7.2,1.649,2.976,2.984,2.665,2.469,2.301,0.31899999999999995,0.3639999999999999
7.2,1.674,2.824,2.823,2.538,2.366,2.22,0.28500000000000014,0.3179999999999996
7.2,1.675,2.819,2.816,2.533,2.362,2.217,0.2829999999999999,0.31599999999999984
7.2,1.699,2.677,2.661,2.416,2.273,2.153,0.2450000000000001,0.2629999999999999
7.2,1.712,2.617,2.595,2.367,2.238,2.13,0.2280000000000002,0.2370000000000001
7.2,1.724,2.565,2.537,2.324,2.206,2.109,0.21300000000000008,0.21499999999999986
7.2,1.742,2.517,2.484,2.287,2.181,2.094,0.19700000000000006,0.19300000000000006
7.2,1.749,2.499,2.464,2.274,2.172,2.09,0.18999999999999995,0.18400000000000016
7.2,1.774,2.444,2.404,2.232,2.142,2.07,0.1719999999999997,0.16200000000000037
7.2,1.781,2.433,2.393,2.226,2.141,2.072,0.16699999999999982,0.15399999999999991
7.2,1.799,2.406,2.364,2.207,2.129,2.066,0.15700000000000003,0.14100000000000001
7.2,1.824,2.342,2.297,2.154,2.084,2.029,0.14300000000000024,0.125
7.2,1.834,2.33,2.286,2.146,2.08,2.026,0.14000000000000012,0.1200000000000001
7.2,1.849,2.289,2.243,2.113,2.052,2.003,0.1299999999999999,0.10999999999999988
7.2,1.874,2.225,2.179,2.062,2.009,1.967,0.11699999999999999,0.09499999999999975
7.2,1.899,2.16,2.117,2.012,1.967,1.931,0.10499999999999998,0.08099999999999996
7.2,1.924,2.096,2.056,1.963,1.925,1.896,0.09299999999999997,0.06700000000000017
7.2,1.947,2.039,2.005,1.922,1.889,1.865,0.08299999999999996,0.05699999999999994
7.2,1.994,1.925,1.904,1.84,1.818,1.802,0.06399999999999983,0.038000000000000034
7.2,2.039,1.818,1.812,1.764,1.751,1.744,0.04800000000000004,0.020000000000000018
7.2,2.085,1.717,1.728,1.694,1.688,1.688,0.03400000000000003,0.006000000000000005
7.2,2.13,1.62,1.648,1.628,1.628,1.633,0.020000000000000018,-0.0050000000000001155
7.2,2.176,1.526,1.573,1.564,1.57,1.581,0.008999999999999897,-0.016999999999999904
7.2,2.222,1.436,1.5,1.503,1.514,1.53,-0.0029999999999998916,-0.027000000000000135
7.2,2.268,1.349,1.432,1.445,1.459,1.479,-0.013000000000000123,-0.03400000000000003
7.2,2.36,1.185,1.304,1.334,1.355,1.383,-0.030000000000000027,-0.04899999999999993
7.2,2.543,0.883,1.074,1.13,1.161,1.2,-0.05599999999999983,-0.07000000000000006
7.2,2.727,0.606,0.865,0.941,0.977,1.026,-0.07599999999999996,-0.08500000000000008
7.2,2.911,0.354,0.675,0.764,0.806,0.862,-0.08899999999999997,-0.09799999999999998
7.2,3.094,0.124,0.5,0.6,0.646,0.708,-0.09999999999999998,-0.10799999999999998
7.2,3.277,-0.089,0.336,0.447,0.496,0.563,-0.11099999999999999,-0.11599999999999994
7.2,3.46,-0.282,0.184,0.303,0.355,0.427,-0.119,-0.124
7.2,3.625,-0.446,0.053,0.179,0.235,0.311,-0.126,-0.132
7.2,3.643,-0.464,0.039,0.166,0.221,0.298,-0.127,-0.13199999999999998
7.2,3.828,-0.633,-0.098,0.036,0.095,0.176,-0.134,-0.13999999999999999
7.2,4.014,-0.792,-0.227,-0.086,-0.024,0.061,-0.14100000000000001,-0.147
7.2,4.195,-0.942,-0.35,-0.203,-0.138,-0.049,-0.14699999999999996,-0.15400000000000003
7.2,4.377,-1.084,-0.469,-0.316,-0.248,-0.156,-0.15299999999999997,-0.16
7.2,4.561,-1.22,-0.583,-0.424,-0.353,-0.258,-0.15899999999999997,-0.16599999999999998
7.2,4.745,-1.35,-0.692,-0.528,-0.455,-0.356,-0.16399999999999992,-0.17200000000000004
7.2,4.929,-1.474,-0.798,-0.629,-0.553,-0.452,-0.16900000000000004,-0.177
7.2,5.114,-1.595,-0.901,-0.727,-0.649,-0.544,-0.17400000000000004,-0.18299999999999994
7.2,5.298,-1.711,-1.0,-0.822,-0.742,-0.634,-0.17800000000000005,-0.18799999999999994
7.2,5.482,-1.824,-1.098,-0.915,-0.833,-0.722,-0.18300000000000005,-0.19300000000000006
7.2,5.666,-1.933,-1.192,-1.006,-0.921,-0.808,-0.18599999999999994,-0.19799999999999995
7.2,5.85,-2.04,-1.284,-1.094,-1.007,-0.892,-0.18999999999999995,-0.20200000000000007
7.2,6.033,-2.143,-1.374,-1.181,-1.092,-0.974,-0.19300000000000006,-0.20700000000000007
7.2,6.231,-2.252,-1.469,-1.272,-1.182,-1.062,-0.19700000000000006,-0.20999999999999996
7.2,6.419,-2.354,-1.559,-1.358,-1.266,-1.144,-0.20099999999999985,-0.2140000000000002
7.2,6.43,-2.36,-1.563,-1.363,-1.271,-1.148,-0.19999999999999996,-0.21500000000000008
7.2,6.903,-2.606,-1.781,-1.573,-1.477,-1.35,-0.20799999999999996,-0.22299999999999986
7.2,7.024,-2.668,-1.835,-1.626,-1.529,-1.401,-0.20900000000000007,-0.22499999999999987
7.2,7.348,-2.826,-1.976,-1.763,-1.664,-1.532,-0.21300000000000008,-0.23099999999999987
7.2,7.751,-3.019,-2.15,-1.932,-1.83,-1.695,-0.21799999999999997,-0.23699999999999988
7.2,8.025,-3.148,-2.266,-2.046,-1.942,-1.805,-0.2200000000000002,-0.24099999999999988
7.2,8.305,-3.278,-2.385,-2.162,-2.056,-1.918,-0.22299999999999986,-0.244
7.2,8.591,-3.411,-2.507,-2.282,-2.175,-2.035,-0.2250000000000001,-0.2469999999999999
7.2,8.893,-3.553,-2.638,-2.41,-2.303,-2.16,-0.22799999999999976,-0.25
7.2,9.015,-3.61,-2.691,-2.463,-2.355,-2.212,-0.22799999999999976,-0.2509999999999999
7.2,9.124,-3.66,-2.737,-2.508,-2.4,-2.257,-0.2290000000000001,-0.2509999999999999
7.2,9.392,-3.783,-2.853,-2.622,-2.513,-2.369,-0.23100000000000032,-0.25299999999999967
7.2,9.643,-3.901,-2.963,-2.732,-2.622,-2.477,-0.23099999999999987,-0.25500000000000034
7.2,9.877,-4.013,-3.07,-2.837,-2.728,-2.582,-0.23299999999999965,-0.25500000000000034
7.2,10.014,-4.081,-3.135,-2.902,-2.792,-2.647,-0.23299999999999965,-0.25500000000000034
7.2,10.158,-4.149,-3.201,-2.967,-2.857,-2.712,-0.23399999999999999,-0.2549999999999999
